Chicago;2379574;41.878114,-87.629798,200km
San Francisco;2487956;37.774929,-122.419416,200km
New York;2459115;40.714353,-74.005973,200km
Seattle;2490383;47.606209,-122.332071,200km
Washington;2514815;38.907231,-77.036464,200km
Houston;2424766;29.760193,-95.369390,200km
Indianapolis;2427032;39.768403,-86.158068,200km
Boston;2367105;42.358431,-71.059773,200km
Miami;2450022;25.788969,-80.226439,200km
Phoenix;2471390;33.448377,-112.074037,200km
Denver;2391279;39.737567,-104.984718,200km
Los Angeles;2442047;34.052234,-118.243685,200km
United States;23424977;37.090240,-95.712891,3000km
